trueskill.Rating(mu=39.356, sigma=1.840)
trueskill.Rating(mu=39.352, sigma=1.838)
trueskill.Rating(mu=39.162, sigma=1.771)
trueskill.Rating(mu=39.285, sigma=1.713)
trueskill.Rating(mu=39.185, sigma=1.704)
trueskill.Rating(mu=39.164, sigma=1.850)
trueskill.Rating(mu=39.254, sigma=1.875)
trueskill.Rating(mu=39.217, sigma=1.763)
trueskill.Rating(mu=39.397, sigma=1.768)
trueskill.Rating(mu=39.318, sigma=1.731)
trueskill.Rating(mu=39.248, sigma=1.745)
trueskill.Rating(mu=39.184, sigma=1.753)
trueskill.Rating(mu=39.213, sigma=1.704)
trueskill.Rating(mu=39.252, sigma=1.707)
trueskill.Rating(mu=39.130, sigma=1.814)
trueskill.Rating(mu=39.107, sigma=1.678)
trueskill.Rating(mu=39.172, sigma=1.780)
trueskill.Rating(mu=39.155, sigma=1.892)
trueskill.Rating(mu=39.358, sigma=1.788)
trueskill.Rating(mu=39.189, sigma=1.893)
trueskill.Rating(mu=39.039, sigma=1.652)
trueskill.Rating(mu=39.302, sigma=1.821)
trueskill.Rating(mu=39.281, sigma=1.833)
trueskill.Rating(mu=39.412, sigma=1.785)
trueskill.Rating(mu=39.295, sigma=1.764)
trueskill.Rating(mu=39.228, sigma=1.713)
trueskill.Rating(mu=39.384, sigma=1.791)
trueskill.Rating(mu=39.300, sigma=1.856)
trueskill.Rating(mu=39.370, sigma=1.785)
trueskill.Rating(mu=39.410, sigma=1.806)
trueskill.Rating(mu=39.331, sigma=1.836)
trueskill.Rating(mu=39.204, sigma=1.904)
trueskill.Rating(mu=39.414, sigma=1.774)
trueskill.Rating(mu=39.310, sigma=1.863)
trueskill.Rating(mu=39.360, sigma=1.819)
trueskill.Rating(mu=39.369, sigma=1.821)
trueskill.Rating(mu=39.290, sigma=1.718)
trueskill.Rating(mu=39.211, sigma=1.811)
trueskill.Rating(mu=39.388, sigma=1.823)
trueskill.Rating(mu=39.236, sigma=1.731)
trueskill.Rating(mu=39.273, sigma=1.702)
trueskill.Rating(mu=39.401, sigma=1.788)
trueskill.Rating(mu=39.270, sigma=1.742)
trueskill.Rating(mu=39.053, sigma=1.676)
trueskill.Rating(mu=39.290, sigma=1.834)
trueskill.Rating(mu=39.226, sigma=1.741)
trueskill.Rating(mu=39.386, sigma=1.785)
trueskill.Rating(mu=39.212, sigma=1.903)
trueskill.Rating(mu=39.333, sigma=1.770)
trueskill.Rating(mu=39.380, sigma=1.742)
trueskill.Rating(mu=39.384, sigma=1.799)
trueskill.Rating(mu=39.308, sigma=1.725)
trueskill.Rating(mu=39.306, sigma=1.849)
trueskill.Rating(mu=39.324, sigma=1.768)
trueskill.Rating(mu=39.421, sigma=1.772)
trueskill.Rating(mu=39.203, sigma=1.738)
trueskill.Rating(mu=39.291, sigma=1.759)
trueskill.Rating(mu=39.398, sigma=1.783)
trueskill.Rating(mu=39.368, sigma=1.778)
trueskill.Rating(mu=39.316, sigma=1.745)
trueskill.Rating(mu=39.299, sigma=1.756)
trueskill.Rating(mu=39.424, sigma=1.802)
trueskill.Rating(mu=39.300, sigma=1.718)
trueskill.Rating(mu=39.413, sigma=1.796)
trueskill.Rating(mu=39.251, sigma=1.710)
trueskill.Rating(mu=39.342, sigma=1.757)
trueskill.Rating(mu=39.099, sigma=1.669)
trueskill.Rating(mu=39.367, sigma=1.769)
trueskill.Rating(mu=39.166, sigma=1.788)
trueskill.Rating(mu=39.384, sigma=1.797)
trueskill.Rating(mu=39.383, sigma=1.758)
trueskill.Rating(mu=39.295, sigma=1.847)
trueskill.Rating(mu=39.330, sigma=1.748)
trueskill.Rating(mu=39.253, sigma=1.746)
trueskill.Rating(mu=39.400, sigma=1.750)
trueskill.Rating(mu=39.261, sigma=1.700)
trueskill.Rating(mu=39.306, sigma=1.796)
trueskill.Rating(mu=39.298, sigma=1.772)
trueskill.Rating(mu=39.322, sigma=1.838)
trueskill.Rating(mu=39.125, sigma=1.715)
trueskill.Rating(mu=39.187, sigma=1.711)
trueskill.Rating(mu=39.409, sigma=1.760)
trueskill.Rating(mu=39.373, sigma=1.828)
trueskill.Rating(mu=39.308, sigma=1.819)
trueskill.Rating(mu=39.385, sigma=1.822)
trueskill.Rating(mu=39.123, sigma=1.918)
trueskill.Rating(mu=39.004, sigma=1.695)
trueskill.Rating(mu=39.050, sigma=1.922)
trueskill.Rating(mu=39.239, sigma=1.796)
trueskill.Rating(mu=39.352, sigma=1.757)
trueskill.Rating(mu=39.300, sigma=1.839)
trueskill.Rating(mu=39.333, sigma=1.846)
trueskill.Rating(mu=39.151, sigma=1.707)
trueskill.Rating(mu=39.163, sigma=1.757)
trueskill.Rating(mu=39.260, sigma=1.789)
trueskill.Rating(mu=39.276, sigma=1.703)
trueskill.Rating(mu=39.330, sigma=1.846)
trueskill.Rating(mu=39.239, sigma=1.710)
trueskill.Rating(mu=39.286, sigma=1.791)
trueskill.Rating(mu=39.391, sigma=1.807)
trueskill.Rating(mu=39.283, sigma=1.882)
